Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Mon Sep 25 13:53:46 2023;20;20;90;0;1.6944293417710919e-15;27.67213114754098;-0.0;-0.0
Mon Sep 25 13:53:52 2023;10;10;90;0;8.472146708855459e-16;13.83606557377049;-0.0;-0.0
Mon Sep 25 13:53:59 2023;0;0;90;0;0.0;0.0;-0.0;-0.0
Mon Sep 25 13:54:06 2023;10;10;270;0;-2.5416440126566375e-15;-13.83606557377049;-0.0;-0.0
Mon Sep 25 13:54:13 2023;20;20;270;0;-5.083288025313275e-15;-27.67213114754098;-0.0;-0.0
Mon Sep 25 13:54:19 2023;30;30;270;0;-7.624932037969912e-15;-41.50819672131147;-0.0;-0.0
Mon Sep 25 13:54:26 2023;40;40;270;0;-1.016657605062655e-14;-55.34426229508196;-0.0;-0.0
Mon Sep 25 13:54:32 2023;50;50;270;0;-1.2708220063283189e-14;-69.18032786885246;-0.0;-0.0
Mon Sep 25 13:54:38 2023;40;40;270;0;-1.016657605062655e-14;-55.34426229508196;-0.0;-0.0
Mon Sep 25 13:54:45 2023;30;30;270;0;-7.624932037969912e-15;-41.50819672131147;-0.0;-0.0
Mon Sep 25 13:54:52 2023;20;20;270;0;-5.083288025313275e-15;-27.67213114754098;-0.0;-0.0
Mon Sep 25 13:54:58 2023;10;10;270;0;-2.5416440126566375e-15;-13.83606557377049;-0.0;-0.0
Mon Sep 25 13:55:05 2023;0;0;270;0;-0.0;-0.0;-0.0;-0.0
Mon Sep 25 13:55:12 2023;0;0;0;0;0.0;0.0;-0.0;-0.0
Mon Sep 25 13:56:07 2023;10;10;90;0;-0.0;-0.0;8.472146708855459e-16;13.83606557377049
Mon Sep 25 13:56:09 2023;20;20;90;0;-0.0;-0.0;1.6944293417710919e-15;27.67213114754098
Mon Sep 25 13:56:12 2023;30;30;90;0;-0.0;-0.0;2.541644012656638e-15;41.50819672131147
Mon Sep 25 13:59:18 2023;10;10;0;0;-0.0;-0.0;13.83606557377049;0.0
Mon Sep 25 13:59:21 2023;20;20;0;0;-0.0;-0.0;27.67213114754098;0.0
Mon Sep 25 13:59:23 2023;30;30;0;0;-0.0;-0.0;41.50819672131147;0.0
Mon Sep 25 13:59:26 2023;40;40;0;0;-0.0;-0.0;55.34426229508196;0.0
Mon Sep 25 13:59:29 2023;50;50;0;0;-0.0;-0.0;69.18032786885246;0.0
Mon Sep 25 13:59:32 2023;40;40;0;0;-0.0;-0.0;55.34426229508196;0.0
Mon Sep 25 13:59:34 2023;30;30;0;0;-0.0;-0.0;41.50819672131147;0.0
Mon Sep 25 13:59:37 2023;20;20;0;0;-0.0;-0.0;27.67213114754098;0.0
Mon Sep 25 13:59:40 2023;10;10;0;0;-0.0;-0.0;13.83606557377049;0.0
Mon Sep 25 13:59:42 2023;0;0;0;0;-0.0;-0.0;0.0;0.0
Mon Sep 25 13:59:45 2023;10;10;180;0;-0.0;-0.0;-13.83606557377049;1.6944293417710919e-15
Mon Sep 25 13:59:48 2023;20;20;180;0;-0.0;-0.0;-27.67213114754098;3.3888586835421837e-15
Mon Sep 25 13:59:51 2023;30;30;180;0;-0.0;-0.0;-41.50819672131147;5.083288025313276e-15
Mon Sep 25 13:59:54 2023;40;40;180;0;-0.0;-0.0;-55.34426229508196;6.7777173670843674e-15
Mon Sep 25 13:59:56 2023;50;50;180;0;-0.0;-0.0;-69.18032786885246;8.47214670885546e-15
Mon Sep 25 13:59:59 2023;40;40;180;0;-0.0;-0.0;-55.34426229508196;6.7777173670843674e-15
Mon Sep 25 14:00:02 2023;30;30;180;0;-0.0;-0.0;-41.50819672131147;5.083288025313276e-15
Mon Sep 25 14:00:05 2023;20;20;180;0;-0.0;-0.0;-27.67213114754098;3.3888586835421837e-15
Mon Sep 25 14:00:08 2023;10;10;180;0;-0.0;-0.0;-13.83606557377049;1.6944293417710919e-15
Mon Sep 25 14:00:11 2023;0;0;180;0;-0.0;-0.0;-0.0;0.0
Mon Sep 25 14:00:13 2023;0;0;0;0;-0.0;-0.0;0.0;0.0
Mon Sep 25 14:02:18 2023;5;5;0;0;-0.0;-0.0;6.918032786885245;0.0
Mon Sep 25 14:02:20 2023;10;10;0;0;-0.0;-0.0;13.83606557377049;0.0
Mon Sep 25 14:02:22 2023;15;15;0;0;-0.0;-0.0;20.754098360655735;0.0
Mon Sep 25 14:02:25 2023;20;20;0;0;-0.0;-0.0;27.67213114754098;0.0
Mon Sep 25 14:02:27 2023;25;25;0;0;-0.0;-0.0;34.59016393442623;0.0
Mon Sep 25 14:02:29 2023;30;30;0;0;-0.0;-0.0;41.50819672131147;0.0
Mon Sep 25 14:02:31 2023;35;35;0;0;-0.0;-0.0;48.42622950819672;0.0
Mon Sep 25 14:02:33 2023;40;40;0;0;-0.0;-0.0;55.34426229508196;0.0
Mon Sep 25 14:02:35 2023;45;45;0;0;-0.0;-0.0;62.26229508196721;0.0
Mon Sep 25 14:02:38 2023;50;50;0;0;-0.0;-0.0;69.18032786885246;0.0
Mon Sep 25 14:02:40 2023;0;0;0;0;-0.0;-0.0;0.0;0.0
Mon Sep 25 14:03:20 2023;5;5;0;0;-0.0;-0.0;6.918032786885245;0.0
Mon Sep 25 14:03:22 2023;10;10;0;0;-0.0;-0.0;13.83606557377049;0.0
Mon Sep 25 14:03:24 2023;15;15;0;0;-0.0;-0.0;20.754098360655735;0.0
Mon Sep 25 14:03:27 2023;20;20;0;0;-0.0;-0.0;27.67213114754098;0.0
Mon Sep 25 14:03:29 2023;25;25;0;0;-0.0;-0.0;34.59016393442623;0.0
Mon Sep 25 14:03:31 2023;30;30;0;0;-0.0;-0.0;41.50819672131147;0.0
Mon Sep 25 14:03:33 2023;35;35;0;0;-0.0;-0.0;48.42622950819672;0.0
Mon Sep 25 14:03:35 2023;40;40;0;0;-0.0;-0.0;55.34426229508196;0.0
Mon Sep 25 14:03:37 2023;45;45;0;0;-0.0;-0.0;62.26229508196721;0.0
Mon Sep 25 14:03:39 2023;50;50;0;0;-0.0;-0.0;69.18032786885246;0.0
Mon Sep 25 14:03:42 2023;55;55;0;0;-0.0;-0.0;76.0983606557377;0.0
Mon Sep 25 14:03:44 2023;60;60;0;0;-0.0;-0.0;83.01639344262294;0.0
Mon Sep 25 14:03:46 2023;0;0;0;0;-0.0;-0.0;0.0;0.0
Mon Sep 25 14:04:17 2023;5;5;0;0;-0.0;-0.0;6.918032786885245;0.0
Mon Sep 25 14:04:19 2023;10;10;0;0;-0.0;-0.0;13.83606557377049;0.0
Mon Sep 25 14:04:21 2023;15;15;0;0;-0.0;-0.0;20.754098360655735;0.0
Mon Sep 25 14:04:23 2023;20;20;0;0;-0.0;-0.0;27.67213114754098;0.0
Mon Sep 25 14:04:25 2023;25;25;0;0;-0.0;-0.0;34.59016393442623;0.0
Mon Sep 25 14:04:27 2023;30;30;0;0;-0.0;-0.0;41.50819672131147;0.0
Mon Sep 25 14:04:29 2023;35;35;0;0;-0.0;-0.0;48.42622950819672;0.0
Mon Sep 25 14:04:32 2023;40;40;0;0;-0.0;-0.0;55.34426229508196;0.0
Mon Sep 25 14:04:34 2023;45;45;0;0;-0.0;-0.0;62.26229508196721;0.0
Mon Sep 25 14:04:36 2023;50;50;0;0;-0.0;-0.0;69.18032786885246;0.0
Mon Sep 25 14:04:38 2023;55;55;0;0;-0.0;-0.0;76.0983606557377;0.0
Mon Sep 25 14:04:40 2023;60;60;0;0;-0.0;-0.0;83.01639344262294;0.0
Mon Sep 25 14:04:42 2023;65;65;0;0;-0.0;-0.0;89.93442622950819;0.0
Mon Sep 25 14:04:44 2023;0;0;0;0;-0.0;-0.0;0.0;0.0
Mon Sep 25 14:06:32 2023;5;5;0;0;0.0;0.6918032786885245;6.918032786885245;0.0
Mon Sep 25 14:06:34 2023;10;10;0;0;0.0;1.383606557377049;13.83606557377049;0.0
Mon Sep 25 14:06:36 2023;15;15;0;0;0.0;2.0754098360655737;20.754098360655735;0.0
Mon Sep 25 14:06:38 2023;20;20;0;0;0.0;2.767213114754098;27.67213114754098;0.0
Mon Sep 25 14:06:40 2023;25;25;0;0;0.0;3.459016393442623;34.59016393442623;0.0
Mon Sep 25 14:06:42 2023;30;30;0;0;0.0;4.150819672131147;41.50819672131147;0.0
Mon Sep 25 14:06:44 2023;35;35;0;0;0.0;4.842622950819672;48.42622950819672;0.0
Mon Sep 25 14:06:47 2023;40;40;0;0;0.0;5.534426229508196;55.34426229508196;0.0
Mon Sep 25 14:06:49 2023;45;45;0;0;0.0;6.226229508196721;62.26229508196721;0.0
Mon Sep 25 14:06:51 2023;50;50;0;0;0.0;6.918032786885246;69.18032786885246;0.0
Mon Sep 25 14:06:53 2023;55;55;0;0;0.0;7.609836065573769;76.0983606557377;0.0
Mon Sep 25 14:06:55 2023;60;60;0;0;0.0;8.301639344262295;83.01639344262294;0.0
Mon Sep 25 14:06:58 2023;65;65;0;0;0.0;8.99344262295082;89.93442622950819;0.0
Mon Sep 25 14:07:00 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 14:07:41 2023;5;5;0;0;0.0;1.383606557377049;6.918032786885245;0.0
Mon Sep 25 14:07:44 2023;10;10;0;0;0.0;2.767213114754098;13.83606557377049;0.0
Mon Sep 25 14:07:46 2023;15;15;0;0;0.0;4.150819672131147;20.754098360655735;0.0
Mon Sep 25 14:07:48 2023;20;20;0;0;0.0;5.534426229508196;27.67213114754098;0.0
Mon Sep 25 14:07:50 2023;25;25;0;0;0.0;6.918032786885246;34.59016393442623;0.0
Mon Sep 25 14:07:52 2023;30;30;0;0;0.0;8.301639344262295;41.50819672131147;0.0
Mon Sep 25 14:07:55 2023;35;35;0;0;0.0;9.685245901639345;48.42622950819672;0.0
Mon Sep 25 14:07:57 2023;40;40;0;0;0.0;11.068852459016393;55.34426229508196;0.0
Mon Sep 25 14:07:59 2023;45;45;0;0;0.0;12.452459016393442;62.26229508196721;0.0
Mon Sep 25 14:08:01 2023;50;50;0;0;0.0;13.836065573770492;69.18032786885246;0.0
Mon Sep 25 14:08:03 2023;55;55;0;0;0.0;15.219672131147538;76.0983606557377;0.0
Mon Sep 25 14:08:05 2023;60;60;0;0;0.0;16.60327868852459;83.01639344262294;0.0
Mon Sep 25 14:08:07 2023;65;65;0;0;0.0;17.98688524590164;89.93442622950819;0.0
Mon Sep 25 14:08:10 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 14:09:00 2023;5;5;0;0;0.0;2.3060109289617485;6.918032786885245;0.0
Mon Sep 25 14:09:03 2023;10;10;0;0;0.0;4.612021857923497;13.83606557377049;0.0
Mon Sep 25 14:09:05 2023;15;15;0;0;0.0;6.918032786885245;20.754098360655735;0.0
Mon Sep 25 14:09:09 2023;20;20;0;0;0.0;9.224043715846994;27.67213114754098;0.0
Mon Sep 25 14:09:11 2023;25;25;0;0;0.0;11.530054644808743;34.59016393442623;0.0
Mon Sep 25 14:09:13 2023;30;30;0;0;0.0;13.83606557377049;41.50819672131147;0.0
Mon Sep 25 14:09:16 2023;35;35;0;0;0.0;16.14207650273224;48.42622950819672;0.0
Mon Sep 25 14:09:19 2023;40;40;0;0;0.0;18.44808743169399;55.34426229508196;0.0
Mon Sep 25 14:09:22 2023;45;45;0;0;0.0;20.754098360655735;62.26229508196721;0.0
Mon Sep 25 14:09:24 2023;50;50;0;0;0.0;23.060109289617486;69.18032786885246;0.0
Mon Sep 25 14:09:27 2023;55;55;0;0;0.0;25.36612021857923;76.0983606557377;0.0
Mon Sep 25 14:09:30 2023;60;60;0;0;0.0;27.67213114754098;83.01639344262294;0.0
Mon Sep 25 14:09:32 2023;65;65;0;0;0.0;29.97814207650273;89.93442622950819;0.0
Mon Sep 25 14:09:35 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 14:10:43 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Mon Sep 25 14:10:45 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Mon Sep 25 14:10:48 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
